ticker,director,cap_stratum,aim_flag,rung_succeeded,figure_found,figure_type,pay_gbp,fy_end,machine_readable,searches_used,confidence,notes,source_url
KZG,Richard Jennings,<50m,Y,c,Y,contractual-salary-disclosure,5000,2025-06-30,partial,1,medium-high,"Interim CEO salary agreed at GBP 5k/yr; all director fees deferred to Aug 2026; plus GBP 187.8k loan facility to company. Nominal 'soft pay' makes salary-multiple meaningless here.",https://www.lse.co.uk/news/kazera-global-enters-pivotal-phase-says-it-needs-more-cash-o6ob85cjuioappz.html
TOO,Scott Livingston,<50m,Y,FAIL,N,none-published,,,N,3,high,"Appointed director 29 May 2025 (CH filing history); latest filed accounts are FY2024 - predate his appointment. Structural new-appointee gap; FY2025 accounts due mid-2026.",https://find-and-update.company-information.service.gov.uk/company/00269566/filing-history
CAD,Thibaut de Gaudemar,<50m,N,b,Y,single-figure-NED-fees,36900,2025-12-31,Y,4,high,"USD 46,667 fees (NED; Chairman from Nov 2025); table denominated in USD - converted at ~0.79. Extracted via curl+pdftotext from AR 2025 PDF; plain web_fetch truncated before the table.",https://www.cadoganenergysolutions.com/~/media/Files/C/cadogan-energy/investor/reports/2026/cadogan-group-annual-financial-report-2025.pdf
SYS1,John Kearon,<50m,Y,b,Y,AIM-audited-remuneration-table,293901,2025-03-31,Y,4,high,"Salary 190,000 + bonus 87,310 + benefits 4,661 + pension 11,930 = 293,901 (Founder, exec during FY25; NED from Sep 2025). Clean per-director audited table.",https://system1group.com/wp-content/uploads/2025/07/S1_ARA_-FY2025-9-July-2025.pdf
ARBB,Sir Henry Angest,50-250m,Y,b,Y,AIM-audited-emoluments-table,1327000,2024-12-31,Y,3,high,"Chairman & CEO; salary 1,275k + benefits 52k. AIM bank with full per-director emoluments note. FY2025 AR not yet surfaced at time of spike.",https://www.arbuthnotlatham.co.uk/sites/default/files/documents/ABG_Report_and_Accounts_2024.pdf
IGR,Gerald Kuehr,50-250m,Y,FAIL,N,none-published,,,N,1,high,"CEO designate from 1 May 2026 (CEO 1 Jul 2026); no annual report will contain his pay until FY Mar 2027 accounts. Structural new-appointee gap.",https://www.investegate.co.uk/announcement/rns/ig-design-group--igr/appointment-of-chief-executive-officer-designate/9522681
ATOM,Peter Levine,50-250m,Y,b,Y,AIM-Rule-19-table,809000,2024-12-31,Y,4,high,"USD 1,024k total (of which USD 810k settled in shares) - converted at ~0.79. Voluntary DRR + per-director table despite AIM exemption from Sch 8.",https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval/Documents.aspx/?type=sl.ra.full&id=0dddbc1f-a933-43a5-a3b5-f5b526b0662b
PANR,Michael Spencer,50-250m,Y,FAIL,N,none-published,,,N,1,high,"Lord Spencer installed as chairman post-AGM 2026; was a shareholder not a director before. No FY remuneration disclosure exists yet. Structural new-appointee gap.",https://www.tipranks.com/news/company-announcements/pantheon-resources-installs-michael-spencer-as-chairman-pauses-new-drilling-during-farm-in-talks
VTY,Greg Fitzgerald,250m-1b,N,FAIL,N,single-figure-exists-not-extracted,,2025-12-31,N,6,medium,"FY2025 AR published (TipRanks confirms) and must contain single figure, but PDF sits behind JS pdf-viewer (direct media URLs 302 to HTML); press only covers policy maxima (GBP 5.6m cap). Manual download would succeed - fail is budget/extraction not availability.",https://www.vistry.co.uk/investors/annual-report-2025
POLR,Iain Evans,250m-1b,Y,FAIL,N,none-published,,,N,2,high,"Appointed CEO/exec director 25 Sep 2025 (internal promotion); appointment RNS discloses shareholdings but no salary. First single-figure appears in FY Mar 2026 AR due ~Jun/Jul 2026. Structural new-appointee gap.",https://www.investegate.co.uk/announcement/rns/polar-capital-holdings--polr/directorate-change/9132201
ASC,William Barker,250m-1b,N,b,Y,fee-waiver-disclosed,0,2025-08-31,partial,4,high,"Deputy Chair from 31 Jul 2025; FY25 Remuneration Committee Report states he 'continues to waive any Board fees'. pay = 0 - zero-denominator edge case for salary-multiple.",https://www.asosplc.com/media/zjznhkza/remuneration-committee-report-ara-fy25.pdf
MAB1,Peter Brodnicki,250m-1b,Y,b,Y,AIM-remuneration-report-table,948000,2024-12-31,Y,3,high,"CEO total GBP 948k FY2024 (2023: 769k); 2025 salary set at GBP 463.5k. AIM but publishes full DRR.",https://www.mortgageadvicebureau.com/media/k5gfcmqm/2024-annual-report.pdf
PSN,Dean Finch,1-5b,N,b,Y,single-figure-table,3108751,2025-12-31,Y,3,high,"Fixed 933,620 + variable 2,175,131 = 3,108,751 (2024: 2,529,463). Textbook Sch 8 single total figure table.",https://www.persimmonhomes.com/corporate/media/t2ejxi3y/persimmon-plc-annual-report-2025.pdf
HOC,Eduardo Landin,1-5b,N,b,Y,single-figure-table,1706000,2025-12-31,Y,3,high,"USD 2,160k total (only exec director) - converted at ~0.79. Report denominated in USD; 15MB PDF handled fine by pdftotext.",https://www.hochschildmining.com/media/ntek4iun/hm-plc-2025-ara-for-website.pdf
BKG,Rob Perrins,1-5b,N,c,Y,single-figure-press-reported,8000000,2025-04-30,N,2,medium,"~GBP 8.0m for year ended 30 Apr 2025 (ii.co.uk/ERI; base salary 597k). Not verified against source PDF (Berkeley IR page is JS-only). Perrins moved to Exec Chair Sep 2025.",https://www.ii.co.uk/analysis-commentary/will-pay-protests-continue-ftse-100-duo-ii528977
GNC,Leslie Van de Walle,1-5b,N,b,Y,single-figure-NED-fees,218000,2025-09-26,Y,3,high,"EUR 258,125 total fees (Board Chair; base 80,535 + additional 177,590) - converted at ~0.845. Greencore reports in EUR. NED-fee row in audited single figure table.",https://www.greencore.com/app/uploads/2025/11/Greencore-Annual-Report-2025-final-20-November.pdf
BA.,Charles Woodburn,>5b,N,c,Y,single-figure-press-reported,11600000,2024-12-31,N,2,medium-high,"FY2024 GBP 11.6m (down from 13.4m in 2023) per press; FY2025 figure exists (AR published ~Mar 2026) but not surfaced within search budget. Separate 13.9m retention package announced Mar 2025.",https://www.cityam.com/bae-systems-boss-in-line-for-huge-pay-day-at-ftse-100-giant/
ULVR,Fernando Fernandez,>5b,N,c,Y,single-figure-press-reported,4732000,2025-12-31,N,2,medium-high,"EUR 5.6m total 2025 (part-year CFO then CEO from 1 Mar 2025) - converted at ~0.845. Part-year role split is a comparability caveat. ULVR reports in EUR.",https://www.gurufocus.com/news/8706342/unilever-proposes-ceo-pay-plan-that-could-top-23-million
BNZL,Frank van Zanten,>5b,N,b,Y,single-figure-table,3089500,2025-12-31,Y,4,high,"GBP 3,089.5k (2024 restated: 4,543.0k). Standalone DRR PDF small enough that even plain web_fetch returned the table.",https://www.bunzl.com/media/rdof1vcp/2025-directors-remuneration-report.pdf
III,Simon Borrows,>5b,N,c,Y,single-figure-aggregator,12000000,2025-03-31,N,1,medium,"~GBP 12m FY to Mar 2025 (Simply Wall St, sourced from AR; salary 744k). Single search; not verified against 3i governance report PDF.",https://simplywall.st/stocks/gb/diversified-financials/lse-iii/3i-group-shares/news/shareholders-may-not-be-so-generous-with-3i-group-plcs-lonii
