section,horizon,key,value
horizon_summary,t30,n_test_matured,352
horizon_summary,t30,spearman_rho,0.05352
horizon_summary,t30,ols_slope,0.00023
horizon_summary,t30,top_quintile_mean_net,0.00388
horizon_summary,t30,top_quintile_t_clustered,0.26027
horizon_summary,t30,top_quintile_n,70
horizon_summary,t30,top_quintile_clusters,48
horizon_summary,t30,overall_mean_net,-0.00492
horizon_summary,t60,n_test_matured,175
horizon_summary,t60,spearman_rho,0.21269
horizon_summary,t60,ols_slope,0.00169
horizon_summary,t60,top_quintile_mean_net,0.0632
horizon_summary,t60,top_quintile_t_clustered,1.52581
horizon_summary,t60,top_quintile_n,35
horizon_summary,t60,top_quintile_clusters,27
horizon_summary,t60,overall_mean_net,0.01051
horizon_summary,t90,n_test_matured,8
horizon_summary,t90,spearman_rho,-0.33333
horizon_summary,t90,ols_slope,-0.00524
horizon_summary,t90,top_quintile_mean_net,-0.07903
horizon_summary,t90,top_quintile_t_clustered,
horizon_summary,t90,top_quintile_n,1
horizon_summary,t90,top_quintile_clusters,1
horizon_summary,t90,overall_mean_net,-0.09553
horizon_summary,t360,n_test_matured,0
horizon_summary,t360,spearman_rho,
horizon_summary,t360,ols_slope,
horizon_summary,t360,top_quintile_mean_net,
horizon_summary,t360,top_quintile_t_clustered,
horizon_summary,t360,top_quintile_n,
horizon_summary,t360,top_quintile_clusters,
horizon_summary,t360,overall_mean_net,
factor,t90,who,-0.02554
factor,t90,buy_size,0.19048
factor,t90,company_size,-0.45238
factor,t90,earnings_timing,-0.0244
factor,t90,past_performance,-0.7066
factor,t90,sector_mult,0.25198
bucket,t30,"bucket1_n35_score[12.2,26.7]",-0.01701
bucket,t30,"bucket2_n35_score[26.8,31.1]",-0.03982
bucket,t30,"bucket3_n35_score[31.1,35.3]",0.01318
bucket,t30,"bucket4_n35_score[35.5,38.6]",0.00529
bucket,t30,"bucket5_n36_score[38.6,41.6]",0.0149
bucket,t30,"bucket6_n35_score[41.7,45.8]",-0.02684
bucket,t30,"bucket7_n35_score[46.6,50.6]",0.01327
bucket,t30,"bucket8_n35_score[50.7,56.7]",-0.02278
bucket,t30,"bucket9_n35_score[57.0,62.2]",0.03006
bucket,t30,"bucket10_n36_score[62.4,86.8]",-0.01957
bucket,t60,"bucket1_n17_score[12.2,25.6]",-0.01444
bucket,t60,"bucket2_n18_score[26.2,29.5]",-0.08671
bucket,t60,"bucket3_n17_score[30.0,34.2]",0.03282
bucket,t60,"bucket4_n18_score[34.2,36.7]",0.03751
bucket,t60,"bucket5_n17_score[36.7,39.7]",0.0041
bucket,t60,"bucket6_n18_score[40.3,44.2]",-0.02572
bucket,t60,"bucket7_n17_score[44.3,49.0]",0.00671
bucket,t60,"bucket8_n18_score[49.5,54.9]",0.0266
bucket,t60,"bucket9_n17_score[55.2,59.9]",0.10198
bucket,t60,"bucket10_n18_score[60.0,86.8]",0.02658
bucket,t90,"bucket1_n1_score[28.1,28.1]",-0.12089
bucket,t90,"bucket2_n1_score[32.1,32.1]",-0.03616
bucket,t90,"bucket3_n1_score[36.7,36.7]",0.01378
bucket,t90,"bucket4_n1_score[38.3,38.3]",-0.05841
bucket,t90,"bucket5_n1_score[47.9,47.9]",0.13769
bucket,t90,"bucket6_n1_score[54.9,54.9]",-0.3904
bucket,t90,"bucket7_n1_score[55.5,55.5]",-0.23079
bucket,t90,"bucket8_n1_score[58.1,58.1]",-0.07903
